0	9
10	274
292	905
943	1115
1116	1300
1301	1434
1435	1637
1638	1827
1828	1963
1964	2094
2095	2260
2261	2352
2353	2488
2489	2656
2657	2788
2789	2928
2929	3101
3102	3186
3206	3467
3468	3675
3695	3807
3808	4094
4095	4256
4257	4489
4490	4614
4615	4833
4834	5052
5053	5240
5241	5475
5476	5796
5797	5986
5987	6099
6100	6217
6218	6324
6325	6485
6486	6702
6703	6919
6920	7114
7115	7258
7296	7707
7727	7890
7910	8361
8381	8575
8613	8734
8754	9221
9259	9594
9614	9900
9920	10196
10216	10526
10546	10657
10695	10774
10794	11469
11489	11772
11792	11861
11881	12304
12342	12587
12607	12746
12766	13213
13251	13351
13371	13765
13785	14297
14317	14403
14423	14705
14743	14999
