0	20
21	285
303	740
760	872
910	998
999	1097
1098	1258
1259	1443
1444	1619
1620	1720
1721	1832
1833	2046
2047	2231
2232	2537
2538	2573
2593	2712
2713	2877
2878	2934
2935	3118
3119	3204
3224	3269
3270	3394
3395	3608
3609	3809
3810	3934
3935	4018
4019	4137
4138	4265
4266	4367
4368	4480
4481	4658
4678	4907
4927	5124
5125	5203
5241	5463
5483	5869
5889	6219
6239	6512
6532	7020
7040	7321
7341	7575
7613	7648
7668	8152
8172	8235
8255	8900
8920	9412
9450	9784
9804	10060
10080	10286
10306	10712
10732	11113
11133	11452
11490	11571
11591	12029
12049	12097
12117	12587
12607	13276
13296	13829
13867	14177
14197	14348
14368	14660
14680	14994
