0	509
523	531
542	597
608	616
617	667
668	698
735	848
849	977
978	1062
1063	1139
1140	1212
1213	1333
1334	1425
1426	1503
1504	1559
1560	1612
1613	1657
1658	1724
1725	1808
1809	2030
2031	2221
2222	2357
2358	2543
2544	2701
2708	2891
2892	2975
2983	3154
3155	3317
3325	3409
3410	3487
3488	3748
3749	3863
3864	4002
4003	4122
4123	4548
4549	4636
4637	4724
4725	4839
4840	4934
4935	5093
5094	5161
5162	5279
5280	5385
5386	5757
5758	6022
6023	6196
6197	6300
6301	6479
6480	6504
6505	6556
6557	6597
6598	6626
6627	6682
6683	6756
6757	6843
6844	6915
6916	6973
6974	7035
7036	7120
7121	7158
7159	7232
7233	7270
7303	7366
7367	7403
7404	7504
7505	7564
7565	7611
7612	7644
7645	7681
7682	7769
7770	7998
7999	8071
8072	8441
8442	8513
8514	8554
8555	8588
8589	8624
8625	8654
8655	8688
8689	8728
8729	9313
9314	9548
9549	9583
9584	9732
9733	9791
9792	9829
9830	9867
9868	9954
9955	9985
9986	10049
10050	10150
10151	10640
10641	10699
10700	10762
10763	10819
10820	10869
10870	10921
10922	10965
10966	11006
11007	11112
11113	11198
11199	11426
11427	11659
11660	11824
11851	14265
