0	2669
2670	2713
2714	2763
2770	2802
2803	2880
2881	2981
2982	3050
3051	3092
3093	3125
3126	3163
3164	3235
3236	3292
3293	3348
3349	3425
3426	3507
3508	3532
3533	3798
3799	3931
3932	4112
4113	4214
4215	4296
4297	4380
4381	4415
4416	4481
4482	4658
4659	4751
4752	5233
5234	5263
5264	5372
5373	5429
5430	5548
5549	5644
5645	5725
5726	5773
5774	5856
5857	6168
6169	6204
6205	6262
6263	6310
6311	6406
6407	6435
6436	6484
6485	6514
6515	6654
6655	6781
6782	7064
7065	7142
7143	7221
7222	7332
7333	7515
7516	7579
7580	7803
7804	7915
7916	8123
8124	8417
8418	8467
8468	8604
8605	8678
8679	8911
8912	8961
8962	9050
9051	9150
9151	9209
9210	9280
9281	9432
9433	9490
9491	9524
9525	9567
9568	9681
9682	9745
9746	9798
9799	9851
9852	9937
9938	10081
10082	10126
10127	10356
10357	10401
10402	10440
10441	10496
10497	10531
10532	10651
10652	10756
10757	10824
10825	10886
10887	10968
10969	11065
11066	11136
11137	11217
11218	11285
11286	11331
11332	11369
11370	11534
11535	11599
11610	11633
11634	11702
11721	14046
14066	14136
14137	14185
14186	14292
14293	14350
14351	14386
14387	14445
14446	14548
14549	14589
14590	14628
14629	14793
14794	14833
14834	14911
14912	14972
14973	14999
