0	1250
1270	2535
2545	2629
2630	2663
2664	2697
2698	2733
2734	2768
2769	3390
3391	3448
3449	3537
3538	4290
4291	4345
4346	4619
4620	4796
4797	4864
4865	5378
5379	5444
5445	5607
5608	5703
5704	5936
5937	6646
6647	6952
6953	6993
6994	7286
7287	7381
7382	7501
7502	7887
7888	7991
7992	8976
8977	9092
9093	9290
9291	9389
9390	9436
9437	9472
9473	9513
9514	9573
9574	9760
9761	10235
10236	10577
10578	10632
10633	10878
10879	10926
10927	10965
10966	11286
11287	11774
11775	11831
11832	12365
12366	13172
13173	13286
13287	14153
14154	14267
14268	14610
14611	14906
14907	14956
14969	14999
